Key,English,Czech,Notes (do not edit)
addons.totalLabel,Add-ons total:,Celkem doplňky:,
addons.totalNote,(fixed price per event — not multiplied by guest count),(pevná cena za akci — nenásobí se počtem hostů),
reviews.eyebrow,On Google Maps,Na Google Maps,
reviews.heading,Google Maps Reviews,Recenze z Google Maps,
reviews.rating,"4.9★ · 1,090+ Google reviews","4,9★ · 1 090+ recenzí na Google",
reviews.seeAllLink,See all reviews on Google Maps →,Zobrazit všechny recenze na Google Maps →,
grandTotal.heading,Grand Total,Celková cena,
grandTotal.catering,Catering,Catering,
grandTotal.addons,Add-on services,Doplňkové služby,
grandTotal.grand,Grand Total (excl. VAT),Celkem (bez DPH),
grandTotal.vat,VAT (21%),DPH (21 %),
grandTotal.totalVat,Total incl. VAT,Celkem s DPH,
grandTotal.note,"All amounts in CZK, calculated live.","Všechny částky v CZK, počítané živě.",
contact.heading,Your Details,Vaše údaje,
contact.name,Name,Jméno,
contact.phone,Phone,Telefon,
contact.email,Email,E-mail,
contact.wishes,Additional wishes,Další přání,
contact.submit,Let's Go Party!,Let's Go Party!,
contact.submitNote,Sends your request straight to our team — we'll get back to you shortly.,Poptávku odešleme přímo našemu týmu — brzy se vám ozveme.,
contact.errorName,Please enter your name.,Vyplňte prosím své jméno.,
contact.errorContact,Please provide a phone number or an email address.,Uveďte prosím telefon nebo e-mail.,
contact.errorSubmit,"Something went wrong sending your request. Please try again, or contact us directly.","Odeslání se nezdařilo. Zkuste to prosím znovu, nebo nás kontaktujte přímo.",
contact.submitting,Sending…,Odesílání…,
contact.directContact,You can also reach us directly:,Můžete nás kontaktovat i přímo:,
contact.successMsg,Thank you — your request has been received.,Děkujeme — vaši poptávku jsme přijali.,
sticky.estimatedTotal,Estimated total,Odhadovaná cena,
sticky.getQuote,Get a quote,Nezávazná poptávka,
footer.text,Lost & Found Bar Prague — Event Catering Calculator,Lost & Found Bar Praha — Kalkulátor cateringu na akce,
